epoch poissonLoss mseLoss Acc
1 2070378840064.0000 14.8424 0.0000
2 0.3302 14.8293 0.0000
3 0.3278 14.8230 0.0000
4 0.3266 14.8209 0.0000
5 0.3258 14.8160 0.0000
6 0.3254 14.8150 0.0000
7 0.3250 14.8143 0.0000
8 0.3248 14.8132 0.0000
9 0.3246 14.8121 0.0000
10 0.3244 14.8109 0.0000
11 0.3243 14.8110 0.0000
12 0.3242 14.8108 0.0000
13 0.3241 14.8094 0.0000
14 0.3240 14.8088 0.0000
15 0.3239 14.8088 0.0000
16 0.3238 14.8082 0.0000
17 0.3237 14.8075 0.0000
18 0.3237 14.8066 0.0000
19 0.3237 14.8078 0.0000
20 0.3236 14.8066 0.0000
21 0.3236 14.8060 0.0000
22 0.3235 14.8059 0.0000
23 0.3234 14.8045 0.0000
24 0.3234 14.8049 0.0000
25 0.3234 14.8046 0.0000
26 0.3234 14.8051 0.0000
27 0.3233 14.8047 0.0000
28 0.3233 14.8040 0.0000
29 0.3232 14.8037 0.0000
30 0.3232 14.8040 0.0000
31 0.3232 14.8037 0.0000
32 0.3231 14.8036 0.0000
33 0.3231 14.8032 0.0000
34 0.3231 14.8036 0.0000
35 0.3231 14.8022 0.0000
36 0.3230 14.8026 0.0000
37 0.3230 14.8017 0.0000
38 0.3230 14.8037 0.0000
39 0.3230 14.8026 0.0000
40 0.3230 14.8024 0.0000
41 0.3229 14.8001 0.0000
42 0.3229 14.8015 0.0000
43 0.3229 14.8017 0.0000
44 0.3229 14.8006 0.0000
45 0.3228 14.8011 0.0000
46 0.3228 14.8013 0.0000
47 0.3228 14.8004 0.0000
48 0.3228 14.8011 0.0000
49 0.3228 14.8000 0.0000
50 0.3228 14.8001 0.0000
51 0.3227 14.7997 0.0000
52 0.3227 14.8010 0.0000
53 0.3227 14.7999 0.0000
54 0.3227 14.8005 0.0000
55 0.3227 14.7996 0.0000
56 0.3226 14.8001 0.0000
57 0.3227 14.8000 0.0000
58 0.3227 14.7995 0.0000
59 0.3226 14.7993 0.0000
60 0.3226 14.7998 0.0000
61 0.3226 14.7989 0.0000
62 0.3226 14.7983 0.0000
63 0.3226 14.7998 0.0000
64 0.3226 14.7985 0.0000
65 0.3226 14.7984 0.0000
66 0.3225 14.7983 0.0000
67 0.3225 14.7989 0.0000
68 0.3225 14.7986 0.0000
69 0.3225 14.7989 0.0000
70 0.3225 14.7984 0.0000
71 0.3225 14.7984 0.0000
72 0.3225 14.7976 0.0000
73 0.3225 14.7983 0.0000
74 0.3224 14.7979 0.0000
75 0.3225 14.7977 0.0000
76 0.3224 14.7978 0.0000
77 0.3224 14.7984 0.0000
78 0.3224 14.7974 0.0000
79 0.3224 14.7970 0.0000
80 0.3224 14.7975 0.0000
81 0.3224 14.7982 0.0000
82 0.3224 14.7963 0.0000
83 0.3224 14.7965 0.0000
84 0.3224 14.7960 0.0000
85 0.3224 14.7974 0.0000
86 0.3223 14.7979 0.0000
87 0.3223 14.7969 0.0000
88 0.3223 14.7972 0.0000
89 0.3223 14.7958 0.0000
90 0.3223 14.7972 0.0000
91 0.3223 14.7972 0.0000
92 0.3223 14.7961 0.0000
93 0.3223 14.7969 0.0000
94 0.3223 14.7965 0.0000
95 0.3223 14.7962 0.0000
96 0.3223 14.7957 0.0000
97 0.3223 14.7961 0.0000
98 0.3222 14.7957 0.0000
99 0.3222 14.7954 0.0000
100 0.3222 14.7962 0.0000
