epoch poissonLoss mseLoss Acc
1 0.3675 14.7007 0.0000
2 0.3133 15.2130 0.0000
3 0.2559 15.3241 0.0000
4 0.2137 15.4252 0.0000
5 0.2017 15.5865 0.0000
6 0.1909 15.4242 0.0000
7 0.1830 15.4925 0.0000
8 0.1771 15.6054 0.0000
9 0.1721 15.7483 0.0000
10 0.1668 15.5221 0.0000
11 0.1606 15.1759 0.0000
12 0.1507 15.3321 0.0000
13 0.1433 15.1660 0.0000
14 0.1361 15.5920 0.0000
15 0.1308 15.5287 0.0000
16 0.1263 15.4534 0.0000
17 0.1221 15.2814 0.0000
18 0.1206 15.3049 0.0000
19 0.1162 15.4574 0.0000
20 0.1152 15.4816 0.0000
21 0.1137 15.5897 0.0000
22 0.1118 15.5582 0.0000
23 0.1098 15.5159 0.0000
24 0.1080 15.6694 0.0000
25 0.1091 15.6651 0.0000
26 0.1072 15.5856 0.0000
27 0.1060 15.4689 0.0000
28 0.1026 15.4339 0.0000
29 0.1027 15.7480 0.0000
30 0.1034 15.7357 0.0000
31 0.1024 15.6990 0.0000
32 0.1004 15.5806 0.0000
33 0.0989 15.4842 0.0000
34 0.0984 15.8538 0.0000
35 0.0982 15.4490 0.0000
36 0.0961 15.3678 0.0000
37 0.0955 15.8334 0.0000
38 0.0936 15.6359 0.0000
39 0.0948 15.6128 0.0000
40 0.0944 15.8433 0.0000
41 0.0928 15.6967 0.0000
42 0.0930 15.8888 0.0000
43 0.0906 15.6103 0.0000
44 0.0900 15.8939 0.0000
45 0.0895 15.7729 0.0000
46 0.0888 15.7733 0.0000
47 0.0898 15.8766 0.0000
48 0.0871 15.7462 0.0000
49 0.0861 15.6448 0.0000
50 0.0843 15.7589 0.0000
51 0.0863 15.8460 0.0000
52 0.0848 15.5351 0.0000
53 0.0840 15.6670 0.0000
54 0.0822 15.7133 0.0000
55 0.0837 15.8440 0.0000
56 0.0837 15.8035 0.0000
57 0.0824 15.4922 0.0000
58 0.0828 15.6578 0.0000
59 0.0807 15.6193 0.0000
60 0.0805 15.9194 0.0000
61 0.0800 15.6993 0.0000
62 0.0781 15.5724 0.0000
63 0.0765 15.6335 0.0000
64 0.0762 15.8722 0.0000
65 0.0766 15.6918 0.0000
66 0.0741 15.6532 0.0000
67 0.0742 15.7248 0.0000
68 0.0730 15.6368 0.0000
69 0.0715 15.6407 0.0000
70 0.0703 15.8757 0.0000
71 0.0709 15.5227 0.0000
72 0.0690 15.6746 0.0000
73 0.0682 15.6412 0.0000
74 0.0671 15.7550 0.0000
75 0.0674 15.8750 0.0000
76 0.0671 15.7003 0.0000
77 0.0656 15.9097 0.0000
78 0.0662 15.6444 0.0000
79 0.0651 15.8863 0.0000
80 0.0653 15.5860 0.0000
81 0.0645 15.6955 0.0000
82 0.0634 15.7524 0.0000
83 0.0629 15.8886 0.0000
84 0.0634 15.7967 0.0000
85 0.0636 15.4874 0.0000
86 0.0633 15.6019 0.0000
87 0.0634 15.5038 0.0000
88 0.0620 15.5790 0.0000
89 0.0618 15.7691 0.0000
90 0.0617 15.6738 0.0000
91 0.0617 15.5189 0.0000
92 0.0609 15.6695 0.0000
93 0.0602 15.5160 0.0000
94 0.0607 15.5898 0.0000
95 0.0601 15.4702 0.0000
96 0.0595 15.5161 0.0000
97 0.0595 15.6416 0.0000
98 0.0597 15.4496 0.0000
99 0.0598 15.4760 0.0000
100 0.0584 15.5678 0.0000
