epoch poissonLoss mseLoss Acc
1 0.7751 14.7306 0.0000
2 0.4504 14.0379 0.0000
3 0.3381 14.1855 0.0000
4 0.3298 14.2723 0.0000
5 0.3264 14.3248 0.0000
6 0.3225 14.3721 0.0000
7 0.3110 14.5118 0.0000
8 0.2956 14.6806 0.0000
9 0.2863 14.7392 0.0000
10 0.2791 15.2087 0.0000
11 0.2697 14.8311 0.0000
12 0.2622 14.9922 0.0000
13 0.2540 15.0176 0.0000
14 0.2464 15.0852 0.0000
15 0.2399 15.1289 0.0000
16 0.2342 15.3713 0.0000
17 0.2291 15.5057 0.0000
18 0.2243 15.5012 0.0000
19 0.2202 15.4964 0.0000
20 0.2167 15.5328 0.0000
21 0.2135 15.5267 0.0000
22 0.2111 15.5311 0.0000
23 0.2089 15.5219 0.0000
24 0.2070 15.5017 0.0000
25 0.2052 15.5226 0.0000
26 0.2040 15.5172 0.0000
27 0.2023 15.5493 0.0000
28 0.2012 15.5432 0.0000
29 0.1997 15.5491 0.0000
30 0.1990 15.5334 0.0000
31 0.1976 15.5580 0.0000
32 0.1968 15.5479 0.0000
33 0.1957 15.5445 0.0000
34 0.1949 15.5645 0.0000
35 0.1941 15.5565 0.0000
36 0.1932 15.5451 0.0000
37 0.1926 15.5555 0.0000
38 0.1918 15.5264 0.0000
39 0.1909 15.5363 0.0000
40 0.1901 15.5234 0.0000
41 0.1895 15.5431 0.0000
42 0.1889 15.5300 0.0000
43 0.1882 15.5116 0.0000
44 0.1875 15.5458 0.0000
45 0.1869 15.5020 0.0000
46 0.1863 15.5199 0.0000
47 0.1856 15.5264 0.0000
48 0.1849 15.5237 0.0000
49 0.1844 15.5118 0.0000
50 0.1838 15.5187 0.0000
51 0.1831 15.5499 0.0000
52 0.1826 15.5373 0.0000
53 0.1819 15.5618 0.0000
54 0.1815 15.5509 0.0000
55 0.1808 15.5551 0.0000
56 0.1804 15.5607 0.0000
57 0.1797 15.5760 0.0000
58 0.1793 15.5899 0.0000
59 0.1786 15.6095 0.0000
60 0.1780 15.6212 0.0000
61 0.1775 15.6223 0.0000
62 0.1769 15.6429 0.0000
63 0.1764 15.6260 0.0000
64 0.1757 15.6370 0.0000
65 0.1752 15.6357 0.0000
66 0.1744 15.6617 0.0000
67 0.1739 15.6622 0.0000
68 0.1731 15.6630 0.0000
69 0.1723 15.6759 0.0000
70 0.1715 15.6715 0.0000
71 0.1707 15.6504 0.0000
72 0.1698 15.6937 0.0000
73 0.1687 15.7030 0.0000
74 0.1677 15.6995 0.0000
75 0.1671 15.6575 0.0000
76 0.1660 15.7241 0.0000
77 0.1648 15.6385 0.0000
78 0.1642 15.6772 0.0000
79 0.1631 15.7078 0.0000
80 0.1621 15.6777 0.0000
81 0.1612 15.6610 0.0000
82 0.1605 15.7198 0.0000
83 0.1592 15.6462 0.0000
84 0.1582 15.5982 0.0000
85 0.1577 15.6242 0.0000
86 0.1564 15.6353 0.0000
87 0.1559 15.5725 0.0000
88 0.1548 15.5817 0.0000
89 0.1537 15.5758 0.0000
90 0.1534 15.5796 0.0000
91 0.1522 15.5866 0.0000
92 0.1513 15.5766 0.0000
93 0.1505 15.6086 0.0000
94 0.1494 15.5940 0.0000
95 0.1489 15.5744 0.0000
96 0.1480 15.5924 0.0000
97 0.1468 15.6125 0.0000
98 0.1461 15.6007 0.0000
99 0.1450 15.5843 0.0000
100 0.1443 15.5712 0.0000
