epoch poissonLoss mseLoss Acc
1 0.7974 14.9010 0.0000
2 0.7970 14.8998 0.0000
3 0.7966 14.8985 0.0000
4 0.7962 14.8973 0.0000
5 0.7958 14.8961 0.0000
6 0.7953 14.8949 0.0000
7 0.7949 14.8936 0.0000
8 0.7945 14.8924 0.0000
9 0.7941 14.8912 0.0000
10 0.7937 14.8900 0.0000
11 0.7933 14.8888 0.0000
12 0.7928 14.8876 0.0000
13 0.7924 14.8863 0.0000
14 0.7920 14.8851 0.0000
15 0.7916 14.8839 0.0000
16 0.7912 14.8827 0.0000
17 0.7907 14.8815 0.0000
18 0.7903 14.8803 0.0000
19 0.7899 14.8790 0.0000
20 0.7895 14.8778 0.0000
21 0.7891 14.8766 0.0000
22 0.7887 14.8754 0.0000
23 0.7882 14.8742 0.0000
24 0.7878 14.8729 0.0000
25 0.7874 14.8717 0.0000
26 0.7870 14.8705 0.0000
27 0.7866 14.8693 0.0000
28 0.7861 14.8680 0.0000
29 0.7857 14.8668 0.0000
30 0.7853 14.8656 0.0000
31 0.7849 14.8643 0.0000
32 0.7845 14.8631 0.0000
33 0.7840 14.8619 0.0000
34 0.7836 14.8606 0.0000
35 0.7832 14.8594 0.0000
36 0.7827 14.8581 0.0000
37 0.7823 14.8569 0.0000
38 0.7819 14.8556 0.0000
39 0.7815 14.8544 0.0000
40 0.7810 14.8531 0.0000
41 0.7806 14.8518 0.0000
42 0.7802 14.8506 0.0000
43 0.7797 14.8493 0.0000
44 0.7793 14.8480 0.0000
45 0.7788 14.8467 0.0000
46 0.7784 14.8454 0.0000
47 0.7780 14.8441 0.0000
48 0.7775 14.8428 0.0000
49 0.7771 14.8415 0.0000
50 0.7766 14.8402 0.0000
51 0.7762 14.8389 0.0000
52 0.7757 14.8375 0.0000
53 0.7752 14.8362 0.0000
54 0.7748 14.8349 0.0000
55 0.7743 14.8335 0.0000
56 0.7739 14.8321 0.0000
57 0.7734 14.8308 0.0000
58 0.7729 14.8294 0.0000
59 0.7724 14.8280 0.0000
60 0.7720 14.8266 0.0000
61 0.7715 14.8252 0.0000
62 0.7710 14.8237 0.0000
63 0.7705 14.8223 0.0000
64 0.7700 14.8208 0.0000
65 0.7695 14.8194 0.0000
66 0.7690 14.8179 0.0000
67 0.7685 14.8164 0.0000
68 0.7680 14.8149 0.0000
69 0.7675 14.8133 0.0000
70 0.7669 14.8118 0.0000
71 0.7664 14.8102 0.0000
72 0.7658 14.8086 0.0000
73 0.7653 14.8070 0.0000
74 0.7647 14.8054 0.0000
75 0.7642 14.8037 0.0000
76 0.7636 14.8020 0.0000
77 0.7630 14.8003 0.0000
78 0.7624 14.7986 0.0000
79 0.7618 14.7968 0.0000
80 0.7612 14.7950 0.0000
81 0.7606 14.7932 0.0000
82 0.7600 14.7913 0.0000
83 0.7593 14.7894 0.0000
84 0.7587 14.7874 0.0000
85 0.7580 14.7854 0.0000
86 0.7573 14.7834 0.0000
87 0.7566 14.7813 0.0000
88 0.7559 14.7791 0.0000
89 0.7551 14.7769 0.0000
90 0.7544 14.7746 0.0000
91 0.7536 14.7722 0.0000
92 0.7527 14.7698 0.0000
93 0.7519 14.7673 0.0000
94 0.7510 14.7647 0.0000
95 0.7501 14.7619 0.0000
96 0.7492 14.7591 0.0000
97 0.7482 14.7561 0.0000
98 0.7471 14.7530 0.0000
99 0.7460 14.7497 0.0000
100 0.7449 14.7462 0.0000
