epoch poissonLoss mseLoss Acc
1 nan nan 0.0000
2 nan nan 0.0000
3 nan nan 0.0000
4 nan nan 0.0000
5 nan nan 0.0000
6 nan nan 0.0000
7 nan nan 0.0000
8 nan nan 0.0000
9 nan nan 0.0000
10 nan nan 0.0000
11 nan nan 0.0000
12 nan nan 0.0000
13 nan nan 0.0000
14 nan nan 0.0000
15 nan nan 0.0000
16 nan nan 0.0000
17 nan nan 0.0000
18 nan nan 0.0000
19 nan nan 0.0000
20 nan nan 0.0000
21 nan nan 0.0000
22 nan nan 0.0000
23 nan nan 0.0000
24 nan nan 0.0000
25 nan nan 0.0000
26 nan nan 0.0000
27 nan nan 0.0000
28 nan nan 0.0000
29 nan nan 0.0000
30 nan nan 0.0000
31 nan nan 0.0000
32 nan nan 0.0000
33 nan nan 0.0000
34 nan nan 0.0000
35 nan nan 0.0000
36 nan nan 0.0000
37 nan nan 0.0000
38 nan nan 0.0000
39 nan nan 0.0000
40 nan nan 0.0000
41 nan nan 0.0000
42 nan nan 0.0000
43 nan nan 0.0000
44 nan nan 0.0000
45 nan nan 0.0000
46 nan nan 0.0000
47 nan nan 0.0000
48 nan nan 0.0000
49 nan nan 0.0000
50 nan nan 0.0000
51 nan nan 0.0000
52 nan nan 0.0000
53 nan nan 0.0000
54 nan nan 0.0000
55 nan nan 0.0000
56 nan nan 0.0000
57 nan nan 0.0000
58 nan nan 0.0000
59 nan nan 0.0000
60 nan nan 0.0000
61 nan nan 0.0000
62 nan nan 0.0000
63 nan nan 0.0000
64 nan nan 0.0000
65 nan nan 0.0000
66 nan nan 0.0000
67 nan nan 0.0000
68 nan nan 0.0000
69 nan nan 0.0000
70 nan nan 0.0000
71 nan nan 0.0000
72 nan nan 0.0000
73 nan nan 0.0000
74 nan nan 0.0000
75 nan nan 0.0000
76 nan nan 0.0000
77 nan nan 0.0000
78 nan nan 0.0000
79 nan nan 0.0000
80 nan nan 0.0000
81 nan nan 0.0000
82 nan nan 0.0000
83 nan nan 0.0000
84 nan nan 0.0000
85 nan nan 0.0000
86 nan nan 0.0000
87 nan nan 0.0000
88 nan nan 0.0000
89 nan nan 0.0000
90 nan nan 0.0000
91 nan nan 0.0000
92 nan nan 0.0000
93 nan nan 0.0000
94 nan nan 0.0000
95 nan nan 0.0000
96 nan nan 0.0000
97 nan nan 0.0000
98 nan nan 0.0000
99 nan nan 0.0000
100 nan nan 0.0000
