epoch poissonLoss mseLoss Acc
1 0.3917 14.7158 0.0000
2 0.3185 14.6841 0.0000
3 0.3155 14.7069 0.0000
4 0.2684 14.8416 0.0000
5 0.2251 15.2061 0.0000
6 0.2022 15.1964 0.0000
7 0.2006 15.4398 0.0000
8 0.1908 15.2490 0.0000
9 0.1844 15.3245 0.0000
10 0.1799 15.3592 0.0000
11 0.1764 15.3559 0.0000
12 0.1729 15.5661 0.0000
13 0.1692 15.6564 0.0000
14 0.1653 15.8049 0.0000
15 0.1605 15.6846 0.0000
16 0.1564 15.6123 0.0000
17 0.1492 14.9077 0.0000
18 0.1446 15.3025 0.0000
19 0.1354 15.6584 0.0000
20 0.1303 15.6051 0.0000
21 0.1272 15.5014 0.0000
22 0.1229 15.2430 0.0000
23 0.1203 15.4511 0.0000
24 0.1187 15.2972 0.0000
25 0.1173 15.4097 0.0000
26 0.1152 15.4761 0.0000
27 0.1134 15.5174 0.0000
28 0.1115 15.5206 0.0000
29 0.1095 15.7748 0.0000
30 0.1092 15.7757 0.0000
31 0.1070 15.5479 0.0000
32 0.1070 15.4034 0.0000
33 0.1055 15.4878 0.0000
34 0.1048 15.5666 0.0000
35 0.1024 15.7771 0.0000
36 0.1030 15.5108 0.0000
37 0.1014 15.3820 0.0000
38 0.1001 15.5180 0.0000
39 0.0980 15.8035 0.0000
40 0.0990 15.4245 0.0000
41 0.0977 15.7110 0.0000
42 0.0952 15.4925 0.0000
43 0.0954 15.7685 0.0000
44 0.0953 15.5085 0.0000
45 0.0946 15.5711 0.0000
46 0.0915 15.6517 0.0000
47 0.0943 15.7499 0.0000
48 0.0953 15.5349 0.0000
49 0.0904 15.8535 0.0000
50 0.0907 15.8487 0.0000
51 0.0886 15.6961 0.0000
52 0.0883 15.8019 0.0000
53 0.0868 15.8272 0.0000
54 0.0849 15.8969 0.0000
55 0.0827 15.9034 0.0000
56 0.0817 15.8858 0.0000
57 0.0800 15.6775 0.0000
58 0.0804 15.6343 0.0000
59 0.0773 15.8681 0.0000
60 0.0772 15.8775 0.0000
61 0.0768 15.5774 0.0000
62 0.0751 15.9453 0.0000
63 0.0758 15.5871 0.0000
64 0.0751 15.6092 0.0000
65 0.0733 15.9248 0.0000
66 0.0740 15.5652 0.0000
67 0.0722 15.8627 0.0000
68 0.0729 15.5446 0.0000
69 0.0716 15.6675 0.0000
70 0.0705 15.6840 0.0000
71 0.0716 15.6015 0.0000
72 0.0701 15.8006 0.0000
73 0.0722 15.4869 0.0000
74 0.0704 15.4695 0.0000
75 0.0700 15.4306 0.0000
76 0.0691 15.4269 0.0000
77 0.0679 15.5070 0.0000
78 0.0672 15.6754 0.0000
79 0.0680 15.5522 0.0000
80 0.0678 15.5132 0.0000
81 0.0666 15.5562 0.0000
82 0.0668 15.5414 0.0000
83 0.0658 15.6422 0.0000
84 0.0651 15.5643 0.0000
85 0.0646 15.6796 0.0000
86 0.0641 15.7177 0.0000
87 0.0642 15.6595 0.0000
88 0.0641 15.5206 0.0000
89 0.0639 15.7256 0.0000
90 0.0627 15.9452 0.0000
91 0.0633 15.7232 0.0000
92 0.0620 15.8205 0.0000
93 0.0628 15.6116 0.0000
94 0.0623 15.6218 0.0000
95 0.0614 15.6360 0.0000
96 0.0627 15.6872 0.0000
97 0.0610 15.7258 0.0000
98 0.0619 15.6766 0.0000
99 0.0623 15.5495 0.0000
100 0.0609 15.5929 0.0000
