epoch poissonLoss mseLoss Acc
1 0.3667 14.6586 0.0000
2 0.3185 14.6939 0.0000
3 0.3170 14.7022 0.0000
4 0.3000 14.8521 0.0000
5 0.2580 15.4303 0.0000
6 0.2331 15.3941 0.0000
7 0.2118 15.2762 0.0000
8 0.2012 15.3227 0.0000
9 0.1945 15.3185 0.0000
10 0.1898 15.3470 0.0000
11 0.1859 15.3125 0.0000
12 0.1823 15.2955 0.0000
13 0.1792 15.3129 0.0000
14 0.1758 15.3175 0.0000
15 0.1724 15.2423 0.0000
16 0.1687 15.2076 0.0000
17 0.1651 15.1783 0.0000
18 0.1617 15.2096 0.0000
19 0.1581 15.3981 0.0000
20 0.1548 15.5763 0.0000
21 0.1514 15.6266 0.0000
22 0.1477 15.6991 0.0000
23 0.1439 15.5983 0.0000
24 0.1401 15.7160 0.0000
25 0.1369 15.2489 0.0000
26 0.1313 15.5257 0.0000
27 0.1266 15.6429 0.0000
28 0.1237 15.5967 0.0000
29 0.1229 15.4538 0.0000
30 0.1183 15.4682 0.0000
31 0.1177 15.4757 0.0000
32 0.1163 15.3521 0.0000
33 0.1139 15.5614 0.0000
34 0.1133 15.4087 0.0000
35 0.1119 15.3694 0.0000
36 0.1095 15.6167 0.0000
37 0.1086 15.5554 0.0000
38 0.1070 15.2849 0.0000
39 0.1061 15.3950 0.0000
40 0.1046 15.5970 0.0000
41 0.1033 15.4046 0.0000
42 0.1011 15.5972 0.0000
43 0.0998 15.5299 0.0000
44 0.0981 15.4303 0.0000
45 0.0977 15.6145 0.0000
46 0.0961 15.7067 0.0000
47 0.0972 15.3914 0.0000
48 0.0968 15.3328 0.0000
49 0.0956 15.5216 0.0000
50 0.0936 15.7775 0.0000
51 0.0935 15.4712 0.0000
52 0.0928 15.9339 0.0000
53 0.0912 15.7152 0.0000
54 0.0907 15.5717 0.0000
55 0.0895 15.7055 0.0000
56 0.0903 15.8136 0.0000
57 0.0897 15.4748 0.0000
58 0.0877 15.5643 0.0000
59 0.0865 15.4433 0.0000
60 0.0863 15.7428 0.0000
61 0.0873 15.6860 0.0000
62 0.0867 15.6787 0.0000
63 0.0863 15.6275 0.0000
64 0.0865 15.4608 0.0000
65 0.0851 15.6697 0.0000
66 0.0846 15.5709 0.0000
67 0.0854 15.5949 0.0000
68 0.0841 15.4421 0.0000
69 0.0830 15.5829 0.0000
70 0.0823 15.7373 0.0000
71 0.0814 15.6353 0.0000
72 0.0812 15.5332 0.0000
73 0.0797 15.6119 0.0000
74 0.0794 15.4410 0.0000
75 0.0778 15.5444 0.0000
76 0.0778 15.3973 0.0000
77 0.0755 15.7466 0.0000
78 0.0749 15.8269 0.0000
79 0.0752 15.8006 0.0000
80 0.0739 15.7329 0.0000
81 0.0736 15.7931 0.0000
82 0.0734 15.7277 0.0000
83 0.0732 15.4889 0.0000
84 0.0728 15.5950 0.0000
85 0.0713 15.7784 0.0000
86 0.0728 15.5732 0.0000
87 0.0703 15.8056 0.0000
88 0.0716 15.5060 0.0000
89 0.0696 15.7212 0.0000
90 0.0694 15.6683 0.0000
91 0.0699 15.4662 0.0000
92 0.0685 15.6636 0.0000
93 0.0682 15.6740 0.0000
94 0.0682 15.5918 0.0000
95 0.0674 15.5103 0.0000
96 0.0674 15.6926 0.0000
97 0.0675 15.5520 0.0000
98 0.0671 15.5489 0.0000
99 0.0664 15.5996 0.0000
100 0.0660 15.6922 0.0000
